target,year,coverage_value,coverage_type,coverage_area
High-income,2020,10.4,Population covered by at least a 5G mobile network (%),Rural
Least Developed Countries (LDCs),2020,0.0,Population covered by at least a 5G mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2020,0.0,Population covered by at least a 5G mobile network (%),Rural
Small Island Developing States (SIDS),2020,0.6,Population covered by at least a 5G mobile network (%),Rural
Africa,2020,0.0,Population covered by at least a 5G mobile network (%),Rural
Americas,2020,13.3,Population covered by at least a 5G mobile network (%),Rural
Arab States,2020,0.1,Population covered by at least a 5G mobile network (%),Rural
Asia-Pacific,2020,0.0,Population covered by at least a 5G mobile network (%),Rural
CIS,2020,0.0,Population covered by at least a 5G mobile network (%),Rural
Europe,2020,1.6,Population covered by at least a 5G mobile network (%),Rural
World,2021,2.7,Population covered by at least a 5G mobile network (%),Rural
Low-income,2021,0.0,Population covered by at least a 5G mobile network (%),Rural
Lower-middle-income,2021,0.8,Population covered by at least a 5G mobile network (%),Rural
Upper-middle-income,2021,1.8,Population covered by at least a 5G mobile network (%),Rural
High-income,2021,24.0,Population covered by at least a 5G mobile network (%),Rural
Least Developed Countries (LDCs),2021,0.0,Population covered by at least a 5G mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2021,0.0,Population covered by at least a 5G mobile network (%),Rural
Small Island Developing States (SIDS),2021,0.6,Population covered by at least a 5G mobile network (%),Rural
Africa,2021,0.0,Population covered by at least a 5G mobile network (%),Rural
Americas,2021,21.6,Population covered by at least a 5G mobile network (%),Rural
Arab States,2021,0.3,Population covered by at least a 5G mobile network (%),Rural
Asia-Pacific,2021,1.7,Population covered by at least a 5G mobile network (%),Rural
CIS,2021,0.0,Population covered by at least a 5G mobile network (%),Rural
Europe,2021,11.0,Population covered by at least a 5G mobile network (%),Rural
World,2022,10.9,Population covered by at least a 5G mobile network (%),Rural
Low-income,2022,0.0,Population covered by at least a 5G mobile network (%),Rural
Lower-middle-income,2022,1.0,Population covered by at least a 5G mobile network (%),Rural
Upper-middle-income,2022,28.4,Population covered by at least a 5G mobile network (%),Rural
High-income,2022,38.3,Population covered by at least a 5G mobile network (%),Rural
Least Developed Countries (LDCs),2022,0.0,Population covered by at least a 5G mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2022,0.0,Population covered by at least a 5G mobile network (%),Rural
Small Island Developing States (SIDS),2022,0.8,Population covered by at least a 5G mobile network (%),Rural
Africa,2022,0.0,Population covered by at least a 5G mobile network (%),Rural
Americas,2022,27.9,Population covered by at least a 5G mobile network (%),Rural
Arab States,2022,0.6,Population covered by at least a 5G mobile network (%),Rural
Asia-Pacific,2022,13.3,Population covered by at least a 5G mobile network (%),Rural
CIS,2022,0.0,Population covered by at least a 5G mobile network (%),Rural
Europe,2022,22.7,Population covered by at least a 5G mobile network (%),Rural
World,2023,22.4,Population covered by at least a 5G mobile network (%),Rural
Low-income,2023,0.0,Population covered by at least a 5G mobile network (%),Rural
Lower-middle-income,2023,11.3,Population covered by at least a 5G mobile network (%),Rural
Upper-middle-income,2023,50.1,Population covered by at least a 5G mobile network (%),Rural
High-income,2023,47.0,Population covered by at least a 5G mobile network (%),Rural
Least Developed Countries (LDCs),2023,0.0,Population covered by at least a 5G mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2023,0.0,Population covered by at least a 5G mobile network (%),Rural
Small Island Developing States (SIDS),2023,1.2,Population covered by at least a 5G mobile network (%),Rural
Africa,2023,0.0,Population covered by at least a 5G mobile network (%),Rural
Americas,2023,29.5,Population covered by at least a 5G mobile network (%),Rural
Arab States,2023,0.7,Population covered by at least a 5G mobile network (%),Rural
Asia-Pacific,2023,31.0,Population covered by at least a 5G mobile network (%),Rural
CIS,2023,0.0,Population covered by at least a 5G mobile network (%),Rural
Europe,2023,32.3,Population covered by at least a 5G mobile network (%),Rural
World,2024,29.2,Population covered by at least a 5G mobile network (%),Rural
Low-income,2024,0.0,Population covered by at least a 5G mobile network (%),Rural
Lower-middle-income,2024,22.3,Population covered by at least a 5G mobile network (%),Rural
Upper-middle-income,2024,51.9,Population covered by at least a 5G mobile network (%),Rural
High-income,2024,57.7,Population covered by at least a 5G mobile network (%),Rural
Least Developed Countries (LDCs),2024,0.0,Population covered by at least a 5G mobile network (%),Rural
Land Locked Developing Countries (LLDCs),2024,0.1,Population covered by at least a 5G mobile network (%),Rural
Small Island Developing States (SIDS),2024,2.8,Population covered by at least a 5G mobile network (%),Rural
Africa,2024,0.1,Population covered by at least a 5G mobile network (%),Rural
Americas,2024,30.7,Population covered by at least a 5G mobile network (%),Rural
Arab States,2024,0.8,Population covered by at least a 5G mobile network (%),Rural
Asia-Pacific,2024,41.0,Population covered by at least a 5G mobile network (%),Rural
CIS,2024,0.0,Population covered by at least a 5G mobile network (%),Rural
Europe,2024,45.8,Population covered by at least a 5G mobile network (%),Rural
World,2015,,"Percentage of individuals using the Internet, by urban/rural area",Total
Low-income,2015,,"Percentage of individuals using the Internet, by urban/rural area",Total
Lower-middle-income,2015,,"Percentage of individuals using the Internet, by urban/rural area",Total
Upper-middle-income,2015,,"Percentage of individuals using the Internet, by urban/rural area",Total
High-income,2015,,"Percentage of individuals using the Internet, by urban/rural area",Total
Least Developed Countries (LDCs),2015,,"Percentage of individuals using the Internet, by urban/rural area",Total
Land Locked Developing Countries (LLDCs),2015,,"Percentage of individuals using the Internet, by urban/rural area",Total
Small Island Developing States (SIDS),2015,,"Percentage of individuals using the Internet, by urban/rural area",Total
Africa,2015,,"Percentage of individuals using the Internet, by urban/rural area",Total
Americas,2015,,"Percentage of individuals using the Internet, by urban/rural area",Total
Arab States,2015,,"Percentage of individuals using the Internet, by urban/rural area",Total
Asia-Pacific,2015,,"Percentage of individuals using the Internet, by urban/rural area",Total
CIS,2015,,"Percentage of individuals using the Internet, by urban/rural area",Total
Europe,2015,,"Percentage of individuals using the Internet, by urban/rural area",Total
World,2016,,"Percentage of individuals using the Internet, by urban/rural area",Total
Low-income,2016,,"Percentage of individuals using the Internet, by urban/rural area",Total
Lower-middle-income,2016,,"Percentage of individuals using the Internet, by urban/rural area",Total
Upper-middle-income,2016,,"Percentage of individuals using the Internet, by urban/rural area",Total
High-income,2016,,"Percentage of individuals using the Internet, by urban/rural area",Total
Least Developed Countries (LDCs),2016,,"Percentage of individuals using the Internet, by urban/rural area",Total
Land Locked Developing Countries (LLDCs),2016,,"Percentage of individuals using the Internet, by urban/rural area",Total
Small Island Developing States (SIDS),2016,,"Percentage of individuals using the Internet, by urban/rural area",Total
Africa,2016,,"Percentage of individuals using the Internet, by urban/rural area",Total
Americas,2016,,"Percentage of individuals using the Internet, by urban/rural area",Total
Arab States,2016,,"Percentage of individuals using the Internet, by urban/rural area",Total
Asia-Pacific,2016,,"Percentage of individuals using the Internet, by urban/rural area",Total
CIS,2016,,"Percentage of individuals using the Internet, by urban/rural area",Total
Europe,2016,,"Percentage of individuals using the Internet, by urban/rural area",Total
World,2017,,"Percentage of individuals using the Internet, by urban/rural area",Total
Low-income,2017,,"Percentage of individuals using the Internet, by urban/rural area",Total
Lower-middle-income,2017,,"Percentage of individuals using the Internet, by urban/rural area",Total
Upper-middle-income,2017,,"Percentage of individuals using the Internet, by urban/rural area",Total
High-income,2017,,"Percentage of individuals using the Internet, by urban/rural area",Total
Least Developed Countries (LDCs),2017,,"Percentage of individuals using the Internet, by urban/rural area",Total
Land Locked Developing Countries (LLDCs),2017,,"Percentage of individuals using the Internet, by urban/rural area",Total
Small Island Developing States (SIDS),2017,,"Percentage of individuals using the Internet, by urban/rural area",Total
Africa,2017,,"Percentage of individuals using the Internet, by urban/rural area",Total
Americas,2017,,"Percentage of individuals using the Internet, by urban/rural area",Total
Arab States,2017,,"Percentage of individuals using the Internet, by urban/rural area",Total
Asia-Pacific,2017,,"Percentage of individuals using the Internet, by urban/rural area",Total
CIS,2017,,"Percentage of individuals using the Internet, by urban/rural area",Total
Europe,2017,,"Percentage of individuals using the Internet, by urban/rural area",Total
World,2018,,"Percentage of individuals using the Internet, by urban/rural area",Total
Low-income,2018,,"Percentage of individuals using the Internet, by urban/rural area",Total
Lower-middle-income,2018,,"Percentage of individuals using the Internet, by urban/rural area",Total
Upper-middle-income,2018,,"Percentage of individuals using the Internet, by urban/rural area",Total
High-income,2018,,"Percentage of individuals using the Internet, by urban/rural area",Total
Least Developed Countries (LDCs),2018,,"Percentage of individuals using the Internet, by urban/rural area",Total
Land Locked Developing Countries (LLDCs),2018,,"Percentage of individuals using the Internet, by urban/rural area",Total
Small Island Developing States (SIDS),2018,,"Percentage of individuals using the Internet, by urban/rural area",Total
Africa,2018,,"Percentage of individuals using the Internet, by urban/rural area",Total
Americas,2018,,"Percentage of individuals using the Internet, by urban/rural area",Total
Arab States,2018,,"Percentage of individuals using the Internet, by urban/rural area",Total
Asia-Pacific,2018,,"Percentage of individuals using the Internet, by urban/rural area",Total
CIS,2018,,"Percentage of individuals using the Internet, by urban/rural area",Total
Europe,2018,,"Percentage of individuals using the Internet, by urban/rural area",Total
World,2019,,"Percentage of individuals using the Internet, by urban/rural area",Total
Low-income,2019,,"Percentage of individuals using the Internet, by urban/rural area",Total
Lower-middle-income,2019,,"Percentage of individuals using the Internet, by urban/rural area",Total
Upper-middle-income,2019,,"Percentage of individuals using the Internet, by urban/rural area",Total
High-income,2019,,"Percentage of individuals using the Internet, by urban/rural area",Total
Least Developed Countries (LDCs),2019,,"Percentage of individuals using the Internet, by urban/rural area",Total
Land Locked Developing Countries (LLDCs),2019,,"Percentage of individuals using the Internet, by urban/rural area",Total
Small Island Developing States (SIDS),2019,,"Percentage of individuals using the Internet, by urban/rural area",Total
Africa,2019,,"Percentage of individuals using the Internet, by urban/rural area",Total
Americas,2019,,"Percentage of individuals using the Internet, by urban/rural area",Total
Arab States,2019,,"Percentage of individuals using the Internet, by urban/rural area",Total
Asia-Pacific,2019,,"Percentage of individuals using the Internet, by urban/rural area",Total
CIS,2019,,"Percentage of individuals using the Internet, by urban/rural area",Total
Europe,2019,,"Percentage of individuals using the Internet, by urban/rural area",Total
World,2020,,"Percentage of individuals using the Internet, by urban/rural area",Total
Low-income,2020,,"Percentage of individuals using the Internet, by urban/rural area",Total
Lower-middle-income,2020,,"Percentage of individuals using the Internet, by urban/rural area",Total
Upper-middle-income,2020,,"Percentage of individuals using the Internet, by urban/rural area",Total
High-income,2020,,"Percentage of individuals using the Internet, by urban/rural area",Total
Least Developed Countries (LDCs),2020,,"Percentage of individuals using the Internet, by urban/rural area",Total
Land Locked Developing Countries (LLDCs),2020,,"Percentage of individuals using the Internet, by urban/rural area",Total
Small Island Developing States (SIDS),2020,,"Percentage of individuals using the Internet, by urban/rural area",Total
Africa,2020,,"Percentage of individuals using the Internet, by urban/rural area",Total
Americas,2020,,"Percentage of individuals using the Internet, by urban/rural area",Total
Arab States,2020,,"Percentage of individuals using the Internet, by urban/rural area",Total
Asia-Pacific,2020,,"Percentage of individuals using the Internet, by urban/rural area",Total
CIS,2020,,"Percentage of individuals using the Internet, by urban/rural area",Total
Europe,2020,,"Percentage of individuals using the Internet, by urban/rural area",Total
World,2021,61.7,"Percentage of individuals using the Internet, by urban/rural area",Total
Low-income,2021,20.9,"Percentage of individuals using the Internet, by urban/rural area",Total
Lower-middle-income,2021,46.6,"Percentage of individuals using the Internet, by urban/rural area",Total
Upper-middle-income,2021,74.1,"Percentage of individuals using the Internet, by urban/rural area",Total
High-income,2021,90.0,"Percentage of individuals using the Internet, by urban/rural area",Total
Least Developed Countries (LDCs),2021,28.3,"Percentage of individuals using the Internet, by urban/rural area",Total
Land Locked Developing Countries (LLDCs),2021,32.9,"Percentage of individuals using the Internet, by urban/rural area",Total
Small Island Developing States (SIDS),2021,62.1,"Percentage of individuals using the Internet, by urban/rural area",Total
Africa,2021,30.8,"Percentage of individuals using the Internet, by urban/rural area",Total
Americas,2021,81.9,"Percentage of individuals using the Internet, by urban/rural area",Total
Arab States,2021,64.7,"Percentage of individuals using the Internet, by urban/rural area",Total
Asia-Pacific,2021,59.3,"Percentage of individuals using the Internet, by urban/rural area",Total
CIS,2021,84.2,"Percentage of individuals using the Internet, by urban/rural area",Total
Europe,2021,87.3,"Percentage of individuals using the Internet, by urban/rural area",Total
World,2022,63.7,"Percentage of individuals using the Internet, by urban/rural area",Total
Low-income,2022,23.1,"Percentage of individuals using the Internet, by urban/rural area",Total
Lower-middle-income,2022,48.8,"Percentage of individuals using the Internet, by urban/rural area",Total
Upper-middle-income,2022,76.5,"Percentage of individuals using the Internet, by urban/rural area",Total
High-income,2022,91.1,"Percentage of individuals using the Internet, by urban/rural area",Total
Least Developed Countries (LDCs),2022,30.6,"Percentage of individuals using the Internet, by urban/rural area",Total
Land Locked Developing Countries (LLDCs),2022,35.5,"Percentage of individuals using the Internet, by urban/rural area",Total
Small Island Developing States (SIDS),2022,62.4,"Percentage of individuals using the Internet, by urban/rural area",Total
Africa,2022,32.9,"Percentage of individuals using the Internet, by urban/rural area",Total
Americas,2022,82.9,"Percentage of individuals using the Internet, by urban/rural area",Total
Arab States,2022,67.4,"Percentage of individuals using the Internet, by urban/rural area",Total
Asia-Pacific,2022,61.6,"Percentage of individuals using the Internet, by urban/rural area",Total
CIS,2022,87.0,"Percentage of individuals using the Internet, by urban/rural area",Total
Europe,2022,88.6,"Percentage of individuals using the Internet, by urban/rural area",Total
World,2023,65.4,"Percentage of individuals using the Internet, by urban/rural area",Total
Low-income,2023,24.4,"Percentage of individuals using the Internet, by urban/rural area",Total
Lower-middle-income,2023,50.9,"Percentage of individuals using the Internet, by urban/rural area",Total
Upper-middle-income,2023,78.5,"Percentage of individuals using the Internet, by urban/rural area",Total
High-income,2023,92.3,"Percentage of individuals using the Internet, by urban/rural area",Total
Least Developed Countries (LDCs),2023,32.5,"Percentage of individuals using the Internet, by urban/rural area",Total
Land Locked Developing Countries (LLDCs),2023,37.0,"Percentage of individuals using the Internet, by urban/rural area",Total
Small Island Developing States (SIDS),2023,63.2,"Percentage of individuals using the Internet, by urban/rural area",Total
Africa,2023,35.0,"Percentage of individuals using the Internet, by urban/rural area",Total
Americas,2023,84.7,"Percentage of individuals using the Internet, by urban/rural area",Total
Arab States,2023,68.6,"Percentage of individuals using the Internet, by urban/rural area",Total
Asia-Pacific,2023,63.4,"Percentage of individuals using the Internet, by urban/rural area",Total
CIS,2023,89.4,"Percentage of individuals using the Internet, by urban/rural area",Total
Europe,2023,89.9,"Percentage of individuals using the Internet, by urban/rural area",Total
World,2024,67.6,"Percentage of individuals using the Internet, by urban/rural area",Total
Low-income,2024,26.5,"Percentage of individuals using the Internet, by urban/rural area",Total
Lower-middle-income,2024,54.0,"Percentage of individuals using the Internet, by urban/rural area",Total
Upper-middle-income,2024,80.7,"Percentage of individuals using the Internet, by urban/rural area",Total
High-income,2024,93.4,"Percentage of individuals using the Internet, by urban/rural area",Total
Least Developed Countries (LDCs),2024,35.0,"Percentage of individuals using the Internet, by urban/rural area",Total
Land Locked Developing Countries (LLDCs),2024,39.4,"Percentage of individuals using the Internet, by urban/rural area",Total
Small Island Developing States (SIDS),2024,64.8,"Percentage of individuals using the Internet, by urban/rural area",Total
Africa,2024,37.5,"Percentage of individuals using the Internet, by urban/rural area",Total
Americas,2024,86.5,"Percentage of individuals using the Internet, by urban/rural area",Total
Arab States,2024,69.6,"Percentage of individuals using the Internet, by urban/rural area",Total
Asia-Pacific,2024,66.1,"Percentage of individuals using the Internet, by urban/rural area",Total
CIS,2024,91.5,"Percentage of individuals using the Internet, by urban/rural area",Total
Europe,2024,91.2,"Percentage of individuals using the Internet, by urban/rural area",Total
World,2015,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Low-income,2015,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Lower-middle-income,2015,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Upper-middle-income,2015,,"Percentage of individuals using the Internet, by urban/rural area",Urban
High-income,2015,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Least Developed Countries (LDCs),2015,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Land Locked Developing Countries (LLDCs),2015,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Small Island Developing States (SIDS),2015,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Africa,2015,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Americas,2015,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Arab States,2015,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Asia-Pacific,2015,,"Percentage of individuals using the Internet, by urban/rural area",Urban
CIS,2015,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Europe,2015,,"Percentage of individuals using the Internet, by urban/rural area",Urban
World,2016,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Low-income,2016,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Lower-middle-income,2016,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Upper-middle-income,2016,,"Percentage of individuals using the Internet, by urban/rural area",Urban
High-income,2016,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Least Developed Countries (LDCs),2016,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Land Locked Developing Countries (LLDCs),2016,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Small Island Developing States (SIDS),2016,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Africa,2016,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Americas,2016,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Arab States,2016,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Asia-Pacific,2016,,"Percentage of individuals using the Internet, by urban/rural area",Urban
CIS,2016,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Europe,2016,,"Percentage of individuals using the Internet, by urban/rural area",Urban
World,2017,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Low-income,2017,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Lower-middle-income,2017,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Upper-middle-income,2017,,"Percentage of individuals using the Internet, by urban/rural area",Urban
High-income,2017,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Least Developed Countries (LDCs),2017,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Land Locked Developing Countries (LLDCs),2017,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Small Island Developing States (SIDS),2017,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Africa,2017,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Americas,2017,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Arab States,2017,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Asia-Pacific,2017,,"Percentage of individuals using the Internet, by urban/rural area",Urban
CIS,2017,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Europe,2017,,"Percentage of individuals using the Internet, by urban/rural area",Urban
World,2018,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Low-income,2018,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Lower-middle-income,2018,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Upper-middle-income,2018,,"Percentage of individuals using the Internet, by urban/rural area",Urban
High-income,2018,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Least Developed Countries (LDCs),2018,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Land Locked Developing Countries (LLDCs),2018,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Small Island Developing States (SIDS),2018,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Africa,2018,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Americas,2018,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Arab States,2018,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Asia-Pacific,2018,,"Percentage of individuals using the Internet, by urban/rural area",Urban
CIS,2018,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Europe,2018,,"Percentage of individuals using the Internet, by urban/rural area",Urban
World,2019,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Low-income,2019,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Lower-middle-income,2019,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Upper-middle-income,2019,,"Percentage of individuals using the Internet, by urban/rural area",Urban
High-income,2019,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Least Developed Countries (LDCs),2019,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Land Locked Developing Countries (LLDCs),2019,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Small Island Developing States (SIDS),2019,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Africa,2019,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Americas,2019,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Arab States,2019,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Asia-Pacific,2019,,"Percentage of individuals using the Internet, by urban/rural area",Urban
CIS,2019,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Europe,2019,,"Percentage of individuals using the Internet, by urban/rural area",Urban
World,2020,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Low-income,2020,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Lower-middle-income,2020,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Upper-middle-income,2020,,"Percentage of individuals using the Internet, by urban/rural area",Urban
High-income,2020,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Least Developed Countries (LDCs),2020,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Land Locked Developing Countries (LLDCs),2020,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Small Island Developing States (SIDS),2020,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Africa,2020,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Americas,2020,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Arab States,2020,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Asia-Pacific,2020,,"Percentage of individuals using the Internet, by urban/rural area",Urban
CIS,2020,,"Percentage of individuals using the Internet, by urban/rural area",Urban
Europe,2020,,"Percentage of individuals using the Internet, by urban/rural area",Urban
World,2021,76.7,"Percentage of individuals using the Internet, by urban/rural area",Urban
Low-income,2021,39.0,"Percentage of individuals using the Internet, by urban/rural area",Urban
Lower-middle-income,2021,63.0,"Percentage of individuals using the Internet, by urban/rural area",Urban
Upper-middle-income,2021,81.4,"Percentage of individuals using the Internet, by urban/rural area",Urban
High-income,2021,91.7,"Percentage of individuals using the Internet, by urban/rural area",Urban
Least Developed Countries (LDCs),2021,47.4,"Percentage of individuals using the Internet, by urban/rural area",Urban
Land Locked Developing Countries (LLDCs),2021,56.3,"Percentage of individuals using the Internet, by urban/rural area",Urban
Small Island Developing States (SIDS),2021,78.7,"Percentage of individuals using the Internet, by urban/rural area",Urban
Africa,2021,49.9,"Percentage of individuals using the Internet, by urban/rural area",Urban
Americas,2021,85.7,"Percentage of individuals using the Internet, by urban/rural area",Urban
Arab States,2021,77.9,"Percentage of individuals using the Internet, by urban/rural area",Urban
Asia-Pacific,2021,75.0,"Percentage of individuals using the Internet, by urban/rural area",Urban
CIS,2021,88.2,"Percentage of individuals using the Internet, by urban/rural area",Urban
Europe,2021,89.5,"Percentage of individuals using the Internet, by urban/rural area",Urban
World,2022,78.3,"Percentage of individuals using the Internet, by urban/rural area",Urban
Low-income,2022,41.5,"Percentage of individuals using the Internet, by urban/rural area",Urban
Lower-middle-income,2022,65.3,"Percentage of individuals using the Internet, by urban/rural area",Urban
Upper-middle-income,2022,83.2,"Percentage of individuals using the Internet, by urban/rural area",Urban
High-income,2022,92.6,"Percentage of individuals using the Internet, by urban/rural area",Urban
Least Developed Countries (LDCs),2022,49.9,"Percentage of individuals using the Internet, by urban/rural area",Urban
Land Locked Developing Countries (LLDCs),2022,58.6,"Percentage of individuals using the Internet, by urban/rural area",Urban
Small Island Developing States (SIDS),2022,78.8,"Percentage of individuals using the Internet, by urban/rural area",Urban
Africa,2022,51.9,"Percentage of individuals using the Internet, by urban/rural area",Urban
Americas,2022,86.5,"Percentage of individuals using the Internet, by urban/rural area",Urban
Arab States,2022,80.5,"Percentage of individuals using the Internet, by urban/rural area",Urban
Asia-Pacific,2022,77.1,"Percentage of individuals using the Internet, by urban/rural area",Urban
CIS,2022,90.6,"Percentage of individuals using the Internet, by urban/rural area",Urban
Europe,2022,90.6,"Percentage of individuals using the Internet, by urban/rural area",Urban
World,2023,80.0,"Percentage of individuals using the Internet, by urban/rural area",Urban
Low-income,2023,42.9,"Percentage of individuals using the Internet, by urban/rural area",Urban
Lower-middle-income,2023,68.1,"Percentage of individuals using the Internet, by urban/rural area",Urban
Upper-middle-income,2023,84.9,"Percentage of individuals using the Internet, by urban/rural area",Urban
High-income,2023,93.7,"Percentage of individuals using the Internet, by urban/rural area",Urban
Least Developed Countries (LDCs),2023,51.8,"Percentage of individuals using the Internet, by urban/rural area",Urban
Land Locked Developing Countries (LLDCs),2023,60.0,"Percentage of individuals using the Internet, by urban/rural area",Urban
Small Island Developing States (SIDS),2023,79.2,"Percentage of individuals using the Internet, by urban/rural area",Urban
Africa,2023,53.8,"Percentage of individuals using the Internet, by urban/rural area",Urban
Americas,2023,87.8,"Percentage of individuals using the Internet, by urban/rural area",Urban
Arab States,2023,81.6,"Percentage of individuals using the Internet, by urban/rural area",Urban
Asia-Pacific,2023,79.2,"Percentage of individuals using the Internet, by urban/rural area",Urban
CIS,2023,92.7,"Percentage of individuals using the Internet, by urban/rural area",Urban
Europe,2023,91.6,"Percentage of individuals using the Internet, by urban/rural area",Urban
World,2024,82.9,"Percentage of individuals using the Internet, by urban/rural area",Urban
Low-income,2024,45.8,"Percentage of individuals using the Internet, by urban/rural area",Urban
Lower-middle-income,2024,72.8,"Percentage of individuals using the Internet, by urban/rural area",Urban
Upper-middle-income,2024,87.6,"Percentage of individuals using the Internet, by urban/rural area",Urban
High-income,2024,94.9,"Percentage of individuals using the Internet, by urban/rural area",Urban
Least Developed Countries (LDCs),2024,55.3,"Percentage of individuals using the Internet, by urban/rural area",Urban
Land Locked Developing Countries (LLDCs),2024,62.9,"Percentage of individuals using the Internet, by urban/rural area",Urban
Small Island Developing States (SIDS),2024,81.4,"Percentage of individuals using the Internet, by urban/rural area",Urban
Africa,2024,57.1,"Percentage of individuals using the Internet, by urban/rural area",Urban
Americas,2024,89.5,"Percentage of individuals using the Internet, by urban/rural area",Urban
Arab States,2024,82.9,"Percentage of individuals using the Internet, by urban/rural area",Urban
Asia-Pacific,2024,83.3,"Percentage of individuals using the Internet, by urban/rural area",Urban
CIS,2024,94.9,"Percentage of individuals using the Internet, by urban/rural area",Urban
Europe,2024,93.1,"Percentage of individuals using the Internet, by urban/rural area",Urban
World,2015,,"Percentage of individuals using the Internet, by urban/rural area",Rural
Low-income,2015,,"Percentage of individuals using the Internet, by urban/rural area",Rural
Lower-middle-income,2015,,"Percentage of individuals using the Internet, by urban/rural area",Rural
Upper-middle-income,2015,,"Percentage of individuals using the Internet, by urban/rural area",Rural
High-income,2015,,"Percentage of individuals using the Internet, by urban/rural area",Rural
Least Developed Countries (LDCs),2015,,"Percentage of individuals using the Internet, by urban/rural area",Rural
Land Locked Developing Countries (LLDCs),2015,,"Percentage of individuals using the Internet, by urban/rural area",Rural
Small Island Developing States (SIDS),2015,,"Percentage of individuals using the Internet, by urban/rural area",Rural
Africa,2015,,"Percentage of individuals using the Internet, by urban/rural area",Rural
Americas,2015,,"Percentage of individuals using the Internet, by urban/rural area",Rural
Arab States,2015,,"Percentage of individuals using the Internet, by urban/rural area",Rural
Asia-Pacific,2015,,"Percentage of individuals using the Internet, by urban/rural area",Rural
CIS,2015,,"Percentage of individuals using the Internet, by urban/rural area",Rural
Europe,2015,,"Percentage of individuals using the Internet, by urban/rural area",Rural
World,2016,,"Percentage of individuals using the Internet, by urban/rural area",Rural
